,Voltage,Temperature
Module1_Cell1_Voltage,3312,473
Module1_Cell2_Voltage,3312,473
Module1_Cell3_Voltage,3308,473
Module1_Cell4_Voltage,3309,473
Module1_Cell5_Voltage,3311,468
Module1_Cell6_Voltage,3314,468
Module1_Cell7_Voltage,3311,468
Module1_Cell8_Voltage,3319,468
Module1_Cell9_Voltage,3316,470
Module1_Cell10_Voltage,3317,470
Module1_Cell11_Voltage,3313,470
Module1_Cell12_Voltage,3315,470
Module1_Cell13_Voltage,3313,462
Module1_Cell14_Voltage,3315,462
Module1_Cell15_Voltage,3316,462
Module1_Cell16_Voltage,3316,462
Module2_Cell1_Voltage,3319,471
Module2_Cell2_Voltage,3317,471
Module2_Cell3_Voltage,3323,471
Module2_Cell4_Voltage,3320,471
Module2_Cell5_Voltage,3331,471
Module2_Cell6_Voltage,3317,471
Module2_Cell7_Voltage,3324,471
Module2_Cell8_Voltage,3317,471
Module2_Cell9_Voltage,3314,471
Module2_Cell10_Voltage,3315,471
Module2_Cell11_Voltage,3315,471
Module2_Cell12_Voltage,3318,471
Module2_Cell13_Voltage,3318,465
Module2_Cell14_Voltage,3315,465
Module2_Cell15_Voltage,3323,465
Module2_Cell16_Voltage,3318,465
Module3_Cell1_Voltage,3314,472
Module3_Cell2_Voltage,3315,472
Module3_Cell3_Voltage,3314,472
Module3_Cell4_Voltage,3315,472
Module3_Cell5_Voltage,3314,470
Module3_Cell6_Voltage,3315,470
Module3_Cell7_Voltage,3317,470
Module3_Cell8_Voltage,3326,470
Module3_Cell9_Voltage,3326,470
Module3_Cell10_Voltage,3317,470
Module3_Cell11_Voltage,3320,470
Module3_Cell12_Voltage,3318,470
Module3_Cell13_Voltage,3330,463
Module3_Cell14_Voltage,3321,463
Module3_Cell15_Voltage,3327,463
Module3_Cell16_Voltage,3323,463
Module4_Cell1_Voltage,3322,472
Module4_Cell2_Voltage,3322,472
Module4_Cell3_Voltage,3327,472
Module4_Cell4_Voltage,3326,472
Module4_Cell5_Voltage,3337,463
Module4_Cell6_Voltage,3322,463
Module4_Cell7_Voltage,3336,463
Module4_Cell8_Voltage,3319,463
Module4_Cell9_Voltage,3317,464
Module4_Cell10_Voltage,3320,464
Module4_Cell11_Voltage,3320,464
Module4_Cell12_Voltage,3320,464
Module4_Cell13_Voltage,3319,458
Module4_Cell14_Voltage,3314,458
Module4_Cell15_Voltage,3320,458
Module4_Cell16_Voltage,3315,458
Module5_Cell1_Voltage,3322,480
Module5_Cell2_Voltage,3320,480
Module5_Cell3_Voltage,3324,480
Module5_Cell4_Voltage,3321,480
Module5_Cell5_Voltage,3326,459
Module5_Cell6_Voltage,3318,459
Module5_Cell7_Voltage,3323,459
Module5_Cell8_Voltage,3317,459
Module5_Cell9_Voltage,3317,461
Module5_Cell10_Voltage,3319,461
Module5_Cell11_Voltage,3322,461
Module5_Cell12_Voltage,3319,461
Module5_Cell13_Voltage,3326,462
Module5_Cell14_Voltage,3323,462
Module5_Cell15_Voltage,3339,462
Module5_Cell16_Voltage,3323,462
Module6_Cell1_Voltage,3321,464
Module6_Cell2_Voltage,3321,464
Module6_Cell3_Voltage,3322,464
Module6_Cell4_Voltage,3323,464
Module6_Cell5_Voltage,3327,457
Module6_Cell6_Voltage,3321,457
Module6_Cell7_Voltage,3324,457
Module6_Cell8_Voltage,3320,457
Module6_Cell9_Voltage,3304,476
Module6_Cell10_Voltage,3317,476
Module6_Cell11_Voltage,3314,476
Module6_Cell12_Voltage,3316,476
Module6_Cell13_Voltage,3312,448
Module6_Cell14_Voltage,3312,448
Module6_Cell15_Voltage,3313,448
Module6_Cell16_Voltage,3313,448
Module7_Cell1_Voltage,3315,461
