幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.95000,31.30000,31.27000,31.16700,31.04500,30.93500,30.82000,30.72500,30.62000,本行賣出,31.62000,31.40000,31.37600,31.28100,31.17300,31.07500,30.97000,30.88500,30.80500,
HKD,本行買入,3.86500,3.99100,3.98600,3.97600,3.96300,3.95200,3.94000,3.92800,3.91500,本行賣出,4.06900,4.05100,4.04700,4.03800,4.02600,4.01500,4.00400,3.99300,3.98200,
GBP,本行買入,38.48000,39.49000,39.44100,39.34400,39.20400,39.08600,38.94700,38.80800,38.66800,本行賣出,40.60000,39.89000,39.85400,39.78100,39.64600,39.52600,39.40300,39.28000,39.15700,
AUD,本行買入,20.67000,20.96000,20.94000,20.89900,20.84100,20.79100,20.73300,20.67200,20.60900,本行賣出,21.45000,21.16000,21.14600,21.11800,21.06200,21.01200,20.96100,20.90800,20.85200,
CAD,本行買入,22.91000,23.31000,23.28400,23.23100,23.15500,23.09200,23.02000,22.94800,22.87500,本行賣出,23.82000,23.51000,23.49100,23.45300,23.37900,23.31500,23.25300,23.19000,23.12700,
SGD,本行買入,22.96000,23.45000,23.42800,23.38500,23.33300,23.28800,23.23700,23.18500,23.13400,本行賣出,23.87000,23.63000,23.61800,23.59400,23.54300,23.49900,23.45600,23.41200,23.36800,
CHF,本行買入,35.37000,36.05000,36.04300,36.02900,36.01800,36.00800,35.99500,35.98100,35.96800,本行賣出,36.57000,36.30000,36.30800,36.32400,36.31400,36.31300,36.31000,36.30800,36.30600,
JPY,本行買入,0.20920,0.21650,0.21660,0.21670,0.21690,0.21710,0.21730,0.21760,0.21780,本行賣出,0.22200,0.22050,0.22060,0.22090,0.22120,0.22140,0.22180,0.22220,0.22260,
ZAR,本行買入,0.00000,1.64600,1.64200,1.63400,1.62400,1.61500,1.60400,1.59400,1.58400,本行賣出,0.00000,1.72600,1.72300,1.71700,1.70700,1.69800,1.68800,1.67800,1.66900,
SEK,本行買入,2.69000,3.03000,3.02800,3.02300,3.01500,3.00900,3.00200,2.99400,2.98600,本行賣出,3.21000,3.13000,3.12900,3.12600,3.11900,3.11300,3.10600,3.10000,3.09400,
NZD,本行買入,19.06000,19.44000,19.41400,19.36300,19.29300,19.23300,19.16200,19.09100,19.02000,本行賣出,19.91000,19.64000,19.62200,19.58500,19.51600,19.45600,19.39200,19.32800,19.26500,
THB,本行買入,0.76890,0.88130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.95890,0.92130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.62650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.43000,34.05000,34.01800,33.95400,33.85900,33.78300,33.71300,33.64400,33.52600,本行賣出,34.77000,34.45000,34.42500,34.37500,34.29100,34.24000,34.18800,34.13700,34.08400,
KRW,本行買入,0.02227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02617,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.65800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.17800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.29000,4.36200,4.35820,4.35060,4.34220,4.33480,4.32870,4.31970,4.31630,本行賣出,4.45200,4.41200,4.40960,4.40490,4.39790,4.39180,4.38760,4.38330,4.37900,
